annee;etablissement;academie;domaine;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile
2012;Lyon 3 - Jean Moulin;Lyon;Sciences humaines et sociales;Autres sciences humaines et sociales;18 mois après le diplôme;;46.0;81.0;6.0;77.0;;;79.0;36.0;85.0;1700.0;26500.0;25.0;8.9;1780.0;45.0;41.0;57.0;1430.0;2130.0
2012;Savoie Mont Blanc;Grenoble;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;244.0;85.0;56.0;88.0;;;58.0;62.0;93.0;1760.0;27400.0;33.0;8.9;1780.0;30.0;46.0;66.0;1430.0;2130.0
2012;Paris 1 - Panthéon Sorbonne;Paris;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;30.0;61.0;4.0;97.0;;;94.0;76.0;97.0;2000.0;31200.0;18.0;9.0;2020.0;72.0;49.0;38.0;1580.0;2530.0
2012;Toulon;Nice;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;77.0;73.0;43.0;81.0;;;67.0;54.0;92.0;1530.0;23800.0;40.0;11.7;1790.0;21.0;23.0;74.0;1390.0;2170.0
2012;Poitiers;Poitiers;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;Université dont les résultats sont plus fragiles (taux de réponse inférieur à 50%);61.0;63.0;8.0;84.0;;;94.0;59.0;96.0;1820.0;28300.0;39.0;9.6;1820.0;66.0;84.0;60.0;1380.0;1980.0
2012;Paris 11 - Paris Sud;Versailles;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;181.0;54.0;69.0;85.0;;;93.0;59.0;96.0;2000.0;31200.0;24.0;9.0;2020.0;73.0;31.0;54.0;1580.0;2530.0
2012;Antilles;Guadeloupe;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;47.0;73.0;54.0;88.0;;;62.0;29.0;90.0;1700.0;26400.0;46.0;8.6;1830.0;35.0;44.0;80.0;1450.0;2180.0
2013;Aix-Marseille;Aix-Marseille;Lettres, langues, arts;Lettres, langues, arts;30 mois après le diplôme;;109.0;70.0;9.0;84.0;;;68.0;50.0;73.0;1630.0;25400.0;30.0;11.4;1840.0;45.0;43.0;77.0;1430.0;2210.0
2013;Aix-Marseille;Aix-Marseille;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;274.0;77.0;20.0;82.0;;;82.0;60.0;81.0;1700.0;26500.0;30.0;11.4;1840.0;53.0;45.0;70.0;1430.0;2210.0
2013;Aix-Marseille;Aix-Marseille;Sciences humaines et sociales;Autres sciences humaines et sociales;18 mois après le diplôme;;89.0;76.0;7.0;87.0;;;75.0;44.0;84.0;1600.0;25000.0;30.0;11.4;1840.0;39.0;48.0;60.0;1430.0;2210.0
2013;Nice - Sophia-Antipolis;Nice;Sciences, technologies et santé;Sciences fondamentales;18 mois après le diplôme;;39.0;91.0;6.0;90.0;;;91.0;76.0;91.0;2100.0;32800.0;26.0;11.4;1840.0;65.0;52.0;74.0;1430.0;2210.0
2013;Pau - Pays de l'Adour;Bordeaux;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;87.0;89.0;30.0;86.0;;;85.0;61.0;90.0;1630.0;25400.0;33.0;9.6;1760.0;58.0;50.0;39.0;1400.0;2100.0
2013;Perpignan - Via Domitia;Montpellier;Droit, économie et gestion;Économie;30 mois après le diplôme;;31.0;67.0;20.0;74.0;;;88.0;75.0;98.0;2070.0;32350.0;45.0;11.9;1730.0;60.0;45.0;80.0;1350.0;2060.0
2013;Strasbourg;Strasbourg;Sciences humaines et sociales;Psychologie;30 mois après le diplôme;;51.0;84.0;5.0;86.0;;;93.0;59.0;55.0;1700.0;26700.0;23.0;10.1;1810.0;72.0;27.0;80.0;1470.0;2130.0
2013;Strasbourg;Strasbourg;Sciences humaines et sociales;Information communication;18 mois après le diplôme;;40.0;88.0;4.0;81.0;;;84.0;60.0;91.0;1710.0;26700.0;23.0;10.1;1810.0;51.0;82.0;60.0;1470.0;2130.0
2013;Strasbourg;Strasbourg;Sciences, technologies et santé;Sciences fondamentales;30 mois après le diplôme;;44.0;66.0;5.0;89.0;;;95.0;59.0;97.0;2130.0;33200.0;23.0;10.1;1810.0;71.0;59.0;50.0;1470.0;2130.0
2013;Lyon 1 - Claude Bernard;Lyon;Sciences, technologies et santé;Sciences fondamentales;18 mois après le diplôme;;85.0;73.0;21.0;81.0;;;97.0;63.0;97.0;2170.0;33800.0;22.0;8.9;1830.0;82.0;61.0;51.0;1780.0;2200.0
2013;Lyon 2 - Lumière;Lyon;Droit, économie et gestion;Économie;18 mois après le diplôme;;74.0;72.0;11.0;74.0;;;82.0;67.0;91.0;1730.0;27000.0;28.0;8.9;1830.0;39.0;58.0;58.0;1780.0;2200.0
2013;Le Mans;Nantes;Masters enseignement;Masters enseignement;18 mois après le diplôme;;55.0;75.0;100.0;100.0;;;90.0;85.0;88.0;1670.0;26000.0;23.0;8.8;1760.0;85.0;33.0;81.0;1430.0;2070.0
2013;Paris 1 - Panthéon Sorbonne;Paris;Sciences humaines et sociales;Autres sciences humaines et sociales;30 mois après le diplôme;;154.0;79.0;16.0;79.0;;;87.0;47.0;94.0;1760.0;27500.0;21.0;8.8;2070.0;64.0;37.0;73.0;1630.0;2580.0
2013;Paris René Descartes;Paris;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;83.0;59.0;24.0;94.0;;;95.0;86.0;95.0;2370.0;36900.0;20.0;8.8;2070.0;85.0;15.0;50.0;1630.0;2580.0
